,CityState,Impressions,CPC,CTR,Cost
1562,"WALLINGFORD, CT",3.91,10.79,0.028,1.16
1563,"ROCKLEDGE, FL",3.91,10.68,0.026,1.07
1564,"WALES, WI",3.91,2.48,0.061,0.58
1565,"SALISBURY, NC",3.91,21.23,0.047,3.84
1566,"WENATCHEE, WA",3.91,18.35,0.03,2.13
1567,"MOSCOW, ID",3.91,14.65,0.035,1.96
1568,"PARKER, AZ",3.91,14.59,0.024,1.36
1569,"NORTH NEW HYDE PARK, NY",3.91,9.63,0.037,1.38
1570,"NEWPORT, RI",3.91,10.99,0.037,1.56
1571,"RAMSEY, NJ",3.91,6.18,0.041,0.97
1572,"PLAISTOW, NH",3.91,4.76,0.042,0.77
1573,"PRESCOTT VALLEY, AZ",3.91,14.07,0.032,1.74
1574,"NEW IBERIA, LA",3.91,8.9,0.027,0.93
1575,"ORADELL, NJ",3.91,10.45,0.026,1.05
1576,"POCATELLO, ID",3.91,10.64,0.063,2.59
1577,"MOUNT HOLLY, NC",3.91,71.17,0.04,10.92
1578,"POINT PLEASANT, NJ",3.91,7.48,0.034,0.98
1579,"POULSBO, WA",3.91,7.39,0.047,1.34
1580,"MARANA, AZ",3.91,7.51,0.027,0.78
1581,"JOHNSTON, RI",3.91,10.49,0.03,1.21
1582,"GLADWYNE, PA",3.91,17.75,0.021,1.44
1583,"HILTON HEAD ISLAND, SC",3.91,5.09,0.07,1.38
1584,"LAKE MONTICELLO, VA",3.91,7.46,0.043,1.25
1585,"HOWELL, MI",3.91,15.88,0.037,2.28
1586,"FROSTPROOF, FL",3.91,5.48,0.031,0.65
1587,"FARMINGTON, CT",3.91,8.25,0.035,1.11
1588,"GRAND ISLAND, NY",3.91,6.93,0.037,0.98
1589,"LAKE WYLIE, SC",3.91,87.87,0.034,11.44
1590,"FRANKLIN PARK, IL",3.91,10.82,0.05,2.07
1591,"GREEN BROOK TOWNSHIP, NJ",3.91,10.46,0.034,1.38
1592,"KAILUA-KONA, HI",3.91,4.95,0.041,0.79
1593,"GARNER, NC",3.91,17.99,0.034,2.37
1594,"LAWRENCEBURG, TN",3.91,6.29,0.052,1.26
1595,"HAYS, KS",3.91,18.63,0.037,2.68
1596,"KAPOLEI, HI",3.91,9.87,0.036,1.36
1597,"ELMSFORD, NY",3.91,8.8,0.029,0.97
1598,"HOLMDEL, NJ",3.91,8.45,0.026,0.85
1599,"KINGSTON, NY",3.91,9.22,0.035,1.23
1600,"BRIGHAM CITY, UT",3.91,21.57,0.059,4.88
1601,"AVON, IN",3.91,7.41,0.043,1.24
1602,"COLUMBUS, IN",3.91,13.96,0.022,1.2
1603,"CONWAY, SC",3.91,7.66,0.047,1.4
1604,"CHALFONT, PA",3.91,13.98,0.03,1.61
1605,"BARRINGTON, RI",3.91,14.64,0.021,1.17
1606,"CAPE GIRARDEAU, MO",3.91,18.26,0.042,2.99
1607,"DEARBORN HEIGHTS, MI",3.91,6.41,0.04,0.99
1608,"CHATHAM TOWNSHIP, NJ",3.91,11.47,0.028,1.23
1609,"DEER PARK, NY",3.91,7.93,0.024,0.75
1610,"ASPEN, CO",3.91,6.61,0.046,1.16
1611,"CITY OF ORANGE, NJ",3.91,6.62,0.038,0.97
1612,"WILSONVILLE, OR",3.85,13.05,0.024,1.1749999999999998
1613,"HOOD RIVER, OR",3.85,15.1,0.028,1.585
1614,"SCITUATE, MA",3.83,12.85,0.021,1.01
1615,"HOPEDALE, MA",3.83,13.46,0.019,0.97
1616,"FOXBOROUGH, MA",3.83,8.83,0.016,0.53
1617,"BOURNE, MA",3.83,18.89,0.017,1.17
1618,"TURLOCK, CA",3.82,14.46,0.029,1.59
1619,"OROVILLE, CA",3.82,9.25,0.037,1.27
1620,"MILL VALLEY, CA",3.82,11.41,0.025,1.08
1621,"PINOLE, CA",3.82,19.07,0.021,1.46
1622,"OAKLEY, CA",3.82,4.09,0.061,0.94
1623,"LEMON GROVE, CA",3.82,27.28,0.026,2.61
1624,"HANFORD, CA",3.82,14.89,0.03,1.65
1625,"BEAUMONT, CA",3.82,15.52,0.037,2.17
1626,"EARP, CA",3.82,15.21,0.027,1.52
1627,"PARADISE, NV",3.79,7.52,0.026,0.73
1628,"BOX ELDER, SD",3.75,12.74,0.025,1.19
1629,"CABOT, AR",3.73,15.02,0.059,3.24
1630,"PORT ARTHUR, TX",3.71,9.59,0.028,0.98
1631,"HUTTO, TX",3.71,17.97,0.032,2.07
1632,"KINGSVILLE, TX",3.71,7.42,0.03,0.8
1633,"CONVERSE, TX",3.71,6.75,0.032,0.78
1634,"VERNON HILLS, IL",3.68,14.88,0.034,1.86
1635,"STREAMWOOD, IL",3.68,14.62,0.064,3.41
1636,"ZIONSVILLE, IN",3.68,12.91,0.066,3.1
1637,"WHEELING, IL",3.68,10.52,0.033,1.25
1638,"WHEELING, WV",3.68,5.99,0.031,0.66
1639,"TRAVERSE CITY, MI",3.68,23.66,0.041,3.52
1640,"SEWICKLEY, PA",3.68,6.54,0.046,1.09
1641,"NORTH WALES, PA",3.68,25.36,0.025,2.31
1642,"MAITLAND, FL",3.68,30.59,0.023,2.52
1643,"MECHANICSVILLE, VA",3.68,11.59,0.042,1.76
1644,"MICHIGAN CITY, IN",3.68,8.43,0.036,1.1
1645,"LUTZ, FL",3.68,7.47,0.033,0.89
1646,"PAINESVILLE, OH",3.68,11.11,0.028,1.13
1647,"MADISON, NJ",3.68,12.42,0.029,1.32
1648,"MOKENA, IL",3.68,5.66,0.054,1.11
1649,"LOVELAND, OH",3.68,3.82,0.036,0.49
1650,"MOLINE, IL",3.68,7.13,0.038,0.97
1651,"MASSAPEQUA, NY",3.68,15.24,0.039,2.18
1652,"RARITAN, NJ",3.68,24.25,0.026,2.32
1653,"HENDERSONVILLE, TN",3.68,8.08,0.043,1.26
1654,"INVER GROVE HEIGHTS, MN",3.68,40.24,0.047,6.72
1655,"LARAMIE, WY",3.68,20.46,0.042,3.11
1656,"GETZVILLE, NY",3.68,4.51,0.03,0.49
1657,"FRANKFORT, KY",3.68,8.41,0.042,1.29
1658,"JEFFERSON CITY, MO",3.68,5.8,0.032,0.68
1659,"FLORENCE, SC",3.68,6.23,0.05,1.13
1660,"KOKOMO, IN",3.68,9.78,0.029,1.02
1661,"FARMINGVILLE, NY",3.68,5.93,0.046,0.99
1662,"KUNA, ID",3.68,10.65,0.02,0.76
1663,"KINNELON, NJ",3.68,4.95,0.05,0.9
1664,"DELTA CHARTER TOWNSHIP, MI",3.68,11.63,0.033,1.38
1665,"AIKEN, SC",3.68,11.93,0.029,1.26
1666,"BIG RAPIDS, MI",3.68,15.53,0.035,1.99
1667,"CROFTON, MD",3.68,4.53,0.031,0.51
1668,"DURANGO, CO",3.68,17.3,0.035,2.19
1669,"CROWN POINT, IN",3.68,9.85,0.041,1.46
1670,"DEKALB, IL",3.68,5.55,0.04,0.8
1671,"BRYN ATHYN, PA",3.68,23.31,0.033,2.75
1672,"BROOKFIELD, WI",3.68,6.33,0.054,1.25
1673,"ANNISTON, AL",3.68,4.48,0.051,0.83
1674,"MCRAE, GA",3.64,12.94,0.049,2.24
1675,"MONTICELLO, GA",3.64,22.18,0.043,3.42
1676,"ROSEBURG, OR",3.59,13.35,0.039999999999999994,1.865
1677,"OXON HILL-GLASSMANOR, MD",3.56,11.32,0.0445,1.78
1678,"SAN JACINTO, CA",3.55,31.68,0.023,2.51
1679,"SOLANA BEACH, CA",3.55,13.65,0.018,0.84
1680,"LOMA LINDA, CA",3.55,13.84,0.028,1.35
1681,"GLENDORA, CA",3.55,35.13,0.032,3.89
1682,"ALPINE, CA",3.55,17.52,0.019,1.16
1683,"BENICIA, CA",3.55,10.4,0.033,1.19
1684,"APTOS, CA",3.55,10.57,0.029,1.07
1685,"NORTON, MA",3.53,15.14,0.021,1.1
1686,"HANOVER, MA",3.53,8.21,0.023,0.64
1687,"CHARLTON, MA",3.53,10.82,0.011,0.4
1688,"CHICOPEE, MA",3.53,12.99,0.047,2.1
1689,"ROSWELL, NM",3.47,4.9,0.046,0.76
1690,"SEARCY, AR",3.47,5.83,0.035,0.69
1691,"RIO RANCHO, NM",3.47,6.93,0.055,1.29
1692,"WILLOUGHBY, OH",3.45,26.09,0.043,3.77
1693,"TAYLOR, MI",3.45,10.54,0.034,1.22
1694,"SALEM, NJ",3.45,19.97,0.038,2.55
1695,"WAIPAHU, HI",3.45,8.02,0.03,0.83
1696,"WASHINGTON, IL",3.45,6.59,0.053,1.2
1697,"WINDHAM, NH",3.45,23.43,0.026,2.06
1698,"MACUNGIE, PA",3.45,20.29,0.034,2.33
1699,"PLEASANTVILLE, NY",3.45,5.69,0.052,1.01
1700,"MOUNT JULIET, TN",3.45,10.49,0.027,0.97
1701,"MERIDIAN CHARTER TOWNSHIP, MI",3.45,7.06,0.039,0.95
1702,"MORRISTOWN, TN",3.45,4.04,0.066,0.9
1703,"MONTVILLE, NJ",3.45,17.7,0.037,2.24
1704,"MARTINSVILLE, VA",3.45,11.64,0.032,1.27
1705,"PORTAGE, IN",3.45,12.23,0.048,1.99
1706,"NORWICH, CT",3.45,11.47,0.06,2.34
1707,"MANHASSET, NY",3.45,6.24,0.05,1.07
1708,"MENOMONEE FALLS, WI",3.45,7.67,0.039,1.03
1709,"MARYLAND HEIGHTS, MO",3.45,20.13,0.055,3.75
1710,"MIDDLETOWN, NY",3.45,13.25,0.047,2.13
1711,"PORT JERVIS, NY",3.45,13.69,0.046,2.16
1712,"OCEAN ISLE BEACH, NC",3.45,5.45,0.037,0.68
1713,"PENNSVILLE TOWNSHIP, NJ",3.45,18.89,0.03,1.93
1714,"MEDFORD, NJ",3.45,7.63,0.061,1.57
1715,"MAUMEE, OH",3.45,5.14,0.05,0.87
1716,"HANOVER, NJ",3.45,9.78,0.038,1.27
1717,"HOLLIS, NH",3.45,14.13,0.024,1.13
1718,"IRWIN, PA",3.45,4.48,0.033,0.5
1719,"HUNTINGTON, NY",3.45,18.65,0.027,1.73
1720,"HANOVER, NH",3.45,9.32,0.028,0.88
1721,"LAKE STEVENS, WA",3.45,9.07,0.054,1.65
1722,"LINCOLNSHIRE, IL",3.45,17.14,0.04,2.32
1723,"LA VERGNE, TN",3.45,6.73,0.049,1.11
1724,"ELMONT, NY",3.45,6.91,0.046,1.08
1725,"FONTAINEBLEAU, FL",3.45,12.25,0.039,1.62
1726,"KNIGHTDALE, NC",3.45,35.43,0.032,3.86
1727,"HUDSON, NH",3.45,11.21,0.018,0.7
1728,"CIRCLEVILLE, OH",3.45,18.58,0.046,2.94
1729,"BAY CITY, MI",3.45,6.34,0.047,1.01
1730,"CHESTERTON, IN",3.45,22.63,0.029,2.26
1731,"DERIDDER, LA",3.45,11.73,0.029,1.14
1732,"CARLISLE, PA",3.45,10.35,0.035,1.23
1733,"BESSEMER, AL",3.45,9.38,0.037,1.17
1734,"DECATUR, IL",3.45,7.49,0.054,1.37
1735,"CHIPPEWA FALLS, WI",3.45,11.25,0.024,0.9
1736,"BRISTOW, VA",3.4450000000000003,8.96,0.016,0.48000000000000004
1737,"POOLER, GA",3.41,13.22,0.04,1.75
1738,"NORTH DRUID HILLS, GA",3.41,21.32,0.023,1.61
1739,"FLOWERY BRANCH, GA",3.41,11.7,0.037,1.43
1740,"RIDGELAND, MS",3.4,10.08,0.036,1.2
1741,"MINNETRISTA, MN",3.4,6.32,0.042,0.88
1742,"FRESNO, TX",3.4,15.59,0.039,2.02
1743,"COPPERAS COVE, TX",3.4,16.56,0.034,1.85
1744,"EAST GRAND FORKS, MN",3.4,6.91,0.045,1.02
1745,"BROWNWOOD, TX",3.4,10.14,0.033,1.1
1746,"CROSS ROADS, TX",3.4,10.28,0.038,1.31
1747,"DUMFRIES, VA",3.375,15.67,0.036000000000000004,1.835
1748,"FULTON, MD",3.37,7.76,0.024,0.62
1749,"HARTFORD, VT",3.37,8.22,0.025,0.66
1750,"ABERDEEN PROVING GROUND, MD",3.37,3.54,0.019,0.22
1751,"NEWBERG, OR",3.335,23.04,0.025500000000000002,1.91
1752,"WASILLA, AK",3.31,9.33,0.028,0.84
1753,"TULARE, CA",3.28,5.19,0.034,0.57
1754,"SEASIDE, CA",3.28,8.74,0.044,1.23
1755,"SANTA FE SPRINGS, CA",3.28,22.13,0.029,2.04
1756,"STANTON, CA",3.28,34.64,0.019,2.14
1757,"PRUNEDALE, CA",3.28,11.89,0.04,1.54
1758,"PICO RIVERA, CA",3.28,23.2,0.032,2.39
1759,"EASTVALE, CA",3.28,9.39,0.026,0.77
1760,"EL CENTRO, CA",3.28,9.88,0.028,0.89
1761,"FALLBROOK, CA",3.28,8.47,0.036,0.97
1762,"LA HABRA, CA",3.28,28.64,0.024,2.16
1763,"CATHEDRAL CITY, CA",3.28,7.57,0.026,0.62
1764,"BRAMBLETON, VA",3.26,32.870000000000005,0.0545,5.59
1765,"WALPOLE, MA",3.24,14.78,0.014,0.67
1766,"WINCHESTER, MA",3.24,9.22,0.018,0.51
1767,"YARMOUTH, MA",3.24,14.04,0.028,1.26
1768,"NORWELL, MA",3.24,12.6,0.017,0.68
1769,"MARBLEHEAD, MA",3.24,29.94,0.025,2.39
1770,"MARSHFIELD, MA",3.24,7.98,0.027,0.67
1771,"GROVELAND, MA",3.24,16.27,0.016,0.82
1772,"ABINGTON, MA",3.24,10.51,0.03,1.01
1773,"AGAWAM, MA",3.24,12.26,0.022,0.87
1774,"KALISPELL, MT",3.23,2.63,0.042,0.35
1775,"WATERTOWN, NY",3.22,9.26,0.039,1.13
1776,"TOOELE, UT",3.22,7.79,0.033,0.81
1777,"TINLEY PARK, IL",3.22,11.99,0.045,1.71
1778,"WADSWORTH, OH",3.22,10.1,0.052,1.65
1779,"ROXBURY TOWNSHIP, NJ",3.22,17.74,0.04,2.26
1780,"ROMEOVILLE, IL",3.22,10.54,0.04,1.33
1781,"VALRICO, FL",3.22,11.49,0.045,1.62
1782,"WEKIVA SPRINGS, FL",3.22,14.75,0.031,1.45
1783,"MADISON HEIGHTS, MI",3.22,9.66,0.036,1.11
1784,"PORT WASHINGTON, NY",3.22,3.86,0.04,0.49
1785,"PONTE VEDRA BEACH, FL",3.22,8.64,0.029,0.79
1786,"NORTON SHORES, MI",3.22,11.93,0.042,1.59
1787,"QUINCY, IL",3.22,8.58,0.041,1.12
1788,"LOGAN TOWNSHIP, NJ",3.22,20.42,0.026,1.69
1789,"ORANGEBURG, SC",3.22,8.74,0.051,1.4
1790,"NEWPORT, NC",3.22,10.42,0.035,1.15
1791,"NEWMARKET, NH",3.22,18.86,0.021,1.28
1792,"RAYMOND, NH",3.22,15.88,0.027,1.38
1793,"MARYVILLE, TN",3.22,8.26,0.038,1.0
1794,"PEARL RIVER, NY",3.22,2.0,0.073,0.46
1795,"POWHATAN, VA",3.22,13.55,0.04,1.72
1796,"ORRVILLE, OH",3.22,6.73,0.072,1.53
1797,"LIMA, OH",3.22,7.96,0.032,0.82
1798,"KIRTLAND, OH",3.22,10.75,0.044,1.49
1799,"EDWARDSVILLE, IL",3.22,13.89,0.046,2.02
1800,"LINDON, UT",3.22,18.07,0.03,1.71
1801,"ELIZABETHTOWN, KY",3.22,15.94,0.045,2.26
1802,"GRAND BLANC, MI",3.22,8.98,0.064,1.82
1803,"GROTON, CT",3.22,9.94,0.045,1.41
1804,"FLEETWOOD, PA",3.22,32.3,0.022,2.26
1805,"BETHPAGE, NY",3.22,12.4,0.042,1.65
1806,"CRESTVIEW, FL",3.22,20.05,0.046,2.94
1807,"DECATUR, AL",3.22,26.75,0.043,3.68
1808,"ABINGTON, PA",3.22,10.29,0.03,0.97
1809,"COLLEGEDALE, TN",3.22,7.42,0.032,0.75
1810,"TEXARKANA, AR",3.2,5.91,0.043,0.8
1811,"SUWANEE, GA",3.18,18.83,0.038,2.22
1812,"HEPHZIBAH, GA",3.18,11.43,0.028,1.01
1813,"FARMINGTON, NM",3.18,11.06,0.035,1.21
1814,"GROVETOWN, GA",3.18,15.59,0.023,1.13
1815,"JACKSON, GA",3.18,24.43,0.027,2.08
1816,"DRUID HILLS, GA",3.18,8.13,0.026,0.66
1817,"WAYZATA, MN",3.11,7.85,0.034,0.81
1818,"MADISON, MS",3.11,6.12,0.03,0.56
1819,"BLOOMINGTON, MN",3.11,23.07,0.027,1.9
1820,"CANTON, MS",3.11,6.85,0.038,0.8
1821,"BURTONSVILLE, MD",3.0999999999999996,13.879999999999999,0.0165,0.7
1822,"TOMBALL, TX",3.09,15.67,0.02,0.93
1823,"LUFKIN, TX",3.09,9.61,0.024,0.69
1824,"DICKINSON, TX",3.09,8.03,0.021,0.5
1825,"TROUTDALE, OR",3.08,14.63,0.0485,2.12
1826,"ALBANY, OR",3.08,23.21,0.03,2.085
1827,"ASHLAND, OR",3.08,13.11,0.0305,1.205
1828,"SOUTH BURLINGTON, VT",3.07,11.12,0.017,0.57
1829,"WINDHAM, ME",3.07,11.16,0.019,0.63
1830,"OCEAN CITY, MD",3.07,6.24,0.033,0.61
1831,"NORTH EAST, MD",3.07,14.46,0.016,0.68
1832,"MILLERSVILLE, MD",3.07,4.55,0.025,0.34
1833,"GAMBRILLS, MD",3.07,7.31,0.034,0.75
1834,"HERMON, ME",3.07,7.26,0.026,0.57
1835,"BERWICK, ME",3.07,27.18,0.029,2.37
1836,"CARIBOU, ME",3.07,5.49,0.156,2.57
1837,"ARNOLD, MD",3.07,14.63,0.025,1.08
1838,"CHESTER, MD",3.07,14.1,0.022,0.92
1839,"SUN CITY, AZ",3.01,21.43,0.029,1.81
1840,"SONOMA, CA",3.0,11.81,0.023,0.8
1841,"PACIFICA, CA",3.0,9.22,0.021,0.56
1842,"RANCHO SANTA FE, CA",3.0,12.62,0.025,0.93
1843,"CAPITOLA, CA",3.0,10.42,0.026,0.79
1844,"UNIVERSITY PARK, IL",2.99,16.04,0.044,2.06
1845,"UTICA, NY",2.99,5.84,0.034,0.59
1846,"SIMPSONVILLE, SC",2.99,7.82,0.045,1.04
1847,"WAUKEE, IA",2.99,13.94,0.021,0.86
1848,"RUSTON, LA",2.99,9.61,0.035,1.0
1849,"SOUTH LYON, MI",2.99,10.61,0.047,1.48
1850,"SNOQUALMIE, WA",2.99,10.88,0.029,0.93
1851,"ROLLA, MO",2.99,7.82,0.035,0.82
1852,"SPRING HILL, TN",2.99,11.6,0.031,1.08
1853,"THE VILLAGES, FL",2.99,15.92,0.033,1.56
1854,"SIMSBURY, CT",2.99,10.65,0.022,0.68
1855,"WEST HEMPSTEAD, NY",2.99,10.63,0.058,1.83
1856,"WILMETTE, IL",2.99,14.08,0.028,1.15
1857,"WEST DUNDEE, IL",2.99,15.5,0.044,2.01
1858,"VALHALLA, NY",2.99,3.49,0.038,0.39
1859,"TAYLORS, SC",2.99,11.9,0.037,1.3
1860,"SAINT JOHN, IN",2.99,15.39,0.028,1.29
1861,"RICHMOND, IN",2.99,12.27,0.037,1.33
1862,"PALISADES PARK, NJ",2.99,14.7,0.034,1.45
1863,"MILLVILLE, NJ",2.99,15.1,0.039,1.75
1864,"MARTINS FERRY, OH",2.99,4.14,0.032,0.4
1865,"PONTIAC, MI",2.99,6.49,0.038,0.73
1866,"OLD SAYBROOK, CT",2.99,12.95,0.028,1.07
1867,"MARENGO, IL",2.99,13.03,0.025,0.95
1868,"NICEVILLE, FL",2.99,7.88,0.047,1.09
1869,"PADUCAH, KY",2.99,6.68,0.053,1.05
1870,"MANDEVILLE, LA",2.99,8.24,0.028,0.67
1871,"NORTH HAMPTON, NH",2.99,19.11,0.017,0.95
1872,"PENN WYNNE, PA",2.99,11.59,0.026,0.89
1873,"PITMAN, NJ",2.99,13.45,0.026,1.01
1874,"MEBANE, NC",2.99,12.26,0.031,1.12
1875,"MONROE, NC",2.99,29.81,0.044,3.88
1876,"MAPLE SHADE TOWNSHIP, NJ",2.99,10.11,0.03,0.9
1877,"PETERSBURG, VA",2.99,7.67,0.043,0.96
1878,"PORTSMOUTH, OH",2.99,9.44,0.044,1.23
1879,"MANTUA TOWNSHIP, NJ",2.99,10.56,0.02,0.61
1880,"GOLDSBORO, NC",2.99,10.79,0.043,1.38
1881,"LEHIGH ACRES, FL",2.99,19.58,0.057,3.27
1882,"GREEN COVE SPRINGS, FL",2.99,20.48,0.024,1.47
1883,"GREENWOOD, IN",2.99,17.31,0.03,1.52
1884,"FAIRMONT, WV",2.99,6.5,0.052,1.0
1885,"FLORAL PARK, NY",2.99,6.74,0.046,0.92
1886,"HAMMOND, LA",2.99,3.27,0.061,0.59
1887,"EASTPOINTE, MI",2.99,17.18,0.041,2.09
1888,"HOMER GLEN, IL",2.99,7.99,0.042,0.99
1889,"GRETNA, LA",2.99,5.57,0.073,1.21
1890,"HOMEWOOD, IL",2.99,8.44,0.038,0.96
1891,"HEBRON, KY",2.99,13.32,0.042,1.64
1892,"INMAN, SC",2.99,5.13,0.023,0.35
1893,"FLORENCE, KY",2.99,12.64,0.042,1.56
1894,"HATFIELD, PA",2.99,10.67,0.026,0.81
1895,"COCOA, FL",2.99,13.48,0.046,1.85
1896,"ATHENS, OH",2.99,3.54,0.043,0.45
1897,"CANDLER, NC",2.99,8.14,0.035,0.85
1898,"COLLINGSWOOD, NJ",2.99,11.21,0.025,0.82
1899,"BOSSIER CITY, LA",2.99,4.86,0.063,0.9
1900,"BRANFORD, CT",2.99,15.93,0.034,1.59
1901,"DENHAM SPRINGS, LA",2.99,3.82,0.053,0.6
1902,"DARIEN, IL",2.99,10.6,0.047,1.45
1903,"CLINTON, CT",2.99,12.13,0.035,1.25
1904,"CALDWELL, ID",2.99,16.08,0.044,2.07
1905,"MARTINSBURG, WV",2.985,4.890000000000001,0.0455,0.64
1906,"ROCKMART, GA",2.96,22.4,0.026,1.66
1907,"MILLEDGEVILLE, GA",2.96,14.16,0.035,1.45
1908,"HIRAM, GA",2.96,12.73,0.029,1.07
1909,"COMMERCE, GA",2.96,15.35,0.037,1.65
1910,"ROCKLAND, MA",2.94,6.13,0.044,0.77
1911,"NORTHBRIDGE, MA",2.94,13.11,0.014,0.54
1912,"SPANISH SPRINGS, NV",2.92,25.5,0.024,1.77
1913,"SUMMERLIN SOUTH, NV",2.92,12.79,0.014,0.51
1914,"HELENA, MT",2.91,8.47,0.031,0.76
1915,"SOUTH SAINT PAUL, MN",2.83,6.16,0.023,0.39
1916,"RED WING, MN",2.83,7.55,0.035,0.74
1917,"OWATONNA, MN",2.83,10.84,0.029,0.87
1918,"LONG BEACH, MS",2.83,10.91,0.036,1.08
1919,"MISSISSIPPI STATE UNIVERSITY, MS",2.83,10.41,0.028,0.81
1920,"HORN LAKE, MS",2.83,8.31,0.039,0.9
1921,"BEMIDJI, MN",2.83,3.04,0.037,0.31
1922,"CHANHASSEN, MN",2.83,5.2,0.076,1.09
1923,"ROSHARON, TX",2.78,13.72,0.021,0.78
1924,"BURLESON, TX",2.78,9.93,0.045,1.22
1925,"BELLAIRE, TX",2.78,6.39,0.029,0.51
1926,"DEL RIO, TX",2.78,10.23,0.03,0.82
1927,"REISTERSTOWN, MD",2.76,3.09,0.035,0.29
1928,"SOUTHINGTON, CT",2.76,9.68,0.053,1.4
1929,"SPANISH FORK, UT",2.76,14.15,0.046,1.79
1930,"WINNETKA, IL",2.76,9.93,0.038,1.03
1931,"SAFETY HARBOR, FL",2.76,8.26,0.024,0.54
1932,"WEIRTON, WV",2.76,11.96,0.038,1.23
1933,"ROME, NY",2.76,14.2,0.04,1.55
1934,"ROYERSFORD, PA",2.76,11.26,0.041,1.24
1935,"WETUMPKA, AL",2.76,3.5,0.063,0.6
1936,"WEST NYACK, NY",2.76,8.46,0.057,1.32
1937,"RUSKIN, FL",2.76,9.84,0.035,0.93
1938,"TAPPAHANNOCK, VA",2.76,38.58,0.02,2.11
1939,"SHELBY, NC",2.76,8.14,0.031,0.69
1940,"RIDGEFIELD, NJ",2.76,8.65,0.045,1.06
1941,"SOUTH BELOIT, IL",2.76,12.08,0.027,0.89
1942,"SAINT JOHNS, MI",2.76,19.27,0.017,0.87
1943,"SAINT JOHNSBURY, VT",2.76,4.81,0.023,0.3
1944,"STATESVILLE, NC",2.76,4.88,0.04,0.53
1945,"VALLEY, AL",2.76,19.23,0.041,2.13
1946,"SWARTHMORE, PA",2.76,14.82,0.015,0.59
1947,"MOUNT COBB, PA",2.76,23.47,0.036,2.32
1948,"NORTH BABYLON, NY",2.76,21.36,0.011,0.66
1949,"ORION CHARTER TOWNSHIP, MI",2.76,17.69,0.046,2.23
1950,"NEW CASTLE, PA",2.76,4.51,0.048,0.6
1951,"MANCHESTER TOWNSHIP, NJ",2.76,15.88,0.045,1.93
1952,"NORTH KINGSTOWN, RI",2.76,9.53,0.026,0.68
1953,"LITTLE RIVER, SC",2.76,5.88,0.039,0.62
1954,"PAOLI, PA",2.76,14.36,0.03,1.18
1955,"ORMOND BEACH, FL",2.76,6.82,0.037,0.69
1956,"LORAIN, OH",2.76,9.58,0.05,1.3
1957,"NEW PORT RICHEY, FL",2.76,15.1,0.025,1.02
1958,"JOPLIN, MO",2.76,10.16,0.039,1.08
1959,"FARMINGTON, UT",2.76,18.86,0.039,2.0
1960,"HAMPSTEAD, NH",2.76,7.98,0.027,0.59
1961,"LINTHICUM HEIGHTS, MD",2.76,22.23,0.014,0.86
1962,"FERDINAND, IN",2.76,31.28,0.021,1.79
1963,"EDGEWOOD, MD",2.76,2.58,0.039,0.27
1964,"ELON, NC",2.76,18.21,0.02,0.99
1965,"JONESBOROUGH, TN",2.76,7.48,0.038,0.78
1966,"EDGELEY, , ND",2.76,21.09,0.023,1.32
1967,"JACKSONVILLE, AL",2.76,5.65,0.066,1.02
1968,"FENTON, MI",2.76,13.38,0.036,1.31
1969,"GRANITE CITY, IL",2.76,4.62,0.061,0.76
1970,"LEVITTOWN, NY",2.76,8.01,0.034,0.74
1971,"HOPEWELL JUNCTION, NY",2.76,8.24,0.051,1.15
1972,"LAHAINA, HI",2.76,8.18,0.039,0.86
1973,"ESSEX, VT",2.76,8.67,0.017,0.39
1974,"GEORGETOWN, KY",2.76,4.92,0.076,1.01
1975,"ASHLAND, KY",2.76,9.48,0.049,1.26
1976,"BRISTOL, PA",2.76,14.61,0.024,0.96
1977,"COLDWATER, MI",2.76,16.24,0.02,0.89
1978,"BRISTOL, CT",2.76,10.39,0.049,1.38
1979,"CRYSTAL LAKE, IL",2.76,12.76,0.039,1.36
1980,"EAST HANOVER, NJ",2.76,9.56,0.036,0.92
1981,"CLINTON TOWNSHIP, NJ",2.76,7.1,0.014,0.28
1982,"COMMERCE CHARTER TOWNSHIP, MI",2.76,19.54,0.031,1.67
1983,"ASHLAND, VA",2.76,9.28,0.043,1.09
1984,"COLCHESTER, VT",2.76,5.52,0.025,0.38
1985,"BERGENFIELD, NJ",2.76,18.89,0.036,1.86
1986,"DUNEDIN, FL",2.76,11.14,0.033,0.99
1987,"BRICK, NJ",2.76,10.8,0.034,0.99
1988,"ASHLEY, OH",2.76,8.1,0.062,1.37
1989,"CHESTERFIELD, MO",2.76,12.45,0.049,1.65
1990,"ALTOONA, PA",2.76,14.79,0.037,1.47
1991,"ROWLAND HEIGHTS, CA",2.73,45.01,0.044,5.25
1992,"SEAL BEACH, CA",2.73,14.68,0.026,1.01
1993,"SANTA YNEZ, CA",2.73,13.7,0.015,0.54
1994,"MARINA, CA",2.73,12.81,0.017,0.56
1995,"PARAMOUNT, CA",2.73,75.79,0.05,10.13
1996,"LOCUST GROVE, GA",2.73,29.76,0.028,2.24
1997,"FOLKSTON, GA",2.73,15.99,0.039,1.64
1998,"LAKESIDE, CA",2.73,13.14,0.037,1.31
1999,"LA CANADA FLINTRIDGE, CA",2.73,8.0,0.032,0.69
2000,"JASPER, GA",2.73,7.26,0.044,0.85
2001,"CALIMESA, CA",2.73,15.51,0.017,0.72
